#---EXFOR Request #2089
#---EXFOR Standard Output---
#=============================================================================
#DATASET        14369003 
#NOW            2016/08/29:04:32:38
#SUBENT         14369003   20130625
#ENTRY          14369      20130625
#AUTHOR1        J.S.Fraser+
#YEAR           1966
#X4REF1         J,ARN,16,379,1966
#REFERENCE1     Jour: Annual Review of Nuclear and Part.Sci., Vol.16, p.379 (1966)
#REACTION       92-U-235(N,F)MASS,PR/FRG,NU
#D4REAC         R0#
#C4Reaction     (N,F)MASS,PR/FRG,NU
#ReactionType   NU
#Quantity       Mult. of prompt neutrons from the fragment spec.
#IndVarFamCode  [0 2    7   ]
#ExpectedUnits  [PART/FIS]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        4
#HEADER         7           4           12
!DATA        DATA-ERR    EN          MASS        
!NO-DIM      NO-DIM      EV          NO-DIM      
!Y.Value     Y.Err+-     X1.Value    X2.Value    
!0.1         0.911       1.1         2.1         
!variable    variable    const       variable    
!1.0         1.0         1.0         1.0         
!NO-DIM      NO-DIM      EV          NO-DIM      
#DATA           77          4           12
 0.84        0.124       0.0253      81.         0.2         
 0.8193      0.0849      0.0253      83.         0.2         
 0.8479      0.0587      0.0253      85.         0.2         
 0.9547      0.0456      0.0253      87.         0.2         
 1.047       0.035       0.0253      89.         0.2         
 1.24        0.029       0.0253      91.         0.2         
 1.333       0.026       0.0253      93.         0.2         
 1.368       0.025       0.0253      95.         0.2         
 1.401       0.024       0.0253      97.         0.2         
 1.421       0.025       0.0253      99.         0.2         
 1.412       0.025       0.0253      101.        0.2         
 1.474       0.027       0.0253      103.        0.2         
 1.61        0.034       0.0253      105.        0.2         
 1.705       0.045       0.0253      107.        0.2         
 1.938       0.076       0.0253      109.        0.2         
 2.131       0.121       0.0253      111.        0.2         
 2.131       0.195       0.0253      113.        0.2         
 1.584       0.236       0.0253      115.        0.2         
 1.213       0.242       0.0253      117.        0.2         
 1.102       0.241       0.0253      119.        0.2         
 1.297       0.22        0.0253      121.        0.2         
 1.067       0.186       0.0253      123.        0.2         
 0.651       0.121       0.0253      125.        0.2         
 0.6064      0.0756      0.0253      127.        0.2         
 0.6079      0.0448      0.0253      129.        0.2         
 0.6381      0.0303      0.0253      131.        0.2         
 0.7424      0.0241      0.0253      133.        0.2         
 0.8662      0.0211      0.0253      135.        0.2         
 1.014       0.021       0.0253      137.        0.2         
 1.103       0.02        0.0253      139.        0.2         
#ENDDATA        37          5
#Legend         5           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-2         : Error       : variable    
#+   Rank      : 0.944       : Y.sErr+-    
#+   Type      : 21          : 0.944       
#+   Header    : ERR-S       : [Uncertainty: +-statistical error]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-3         : Data        : constant    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 43          : 2.1         
#+   Header    : EN-DUMMY    : [Incident energy: spectrum energy]
#+   Units     : EV          : [electron-Volts]
#
#COL-4         : Data        : variable    
#+   Rank      : 2.1         : X2.Value    
#+   Type      : 92          : 7.1         
#+   Header    : MASS        : [Isotope/particle identification: mass] Product mass
#+   Units     : NO-DIM      : [no Dimensions]
#
#COL-5         : Error       : constant    
#+   Rank      : 2.922       : X2.Resl+-   
