75.9753954306  -23.6451612903	0.0878734622144  0.0483870967742
77.0298769772  -18.5161290323	0.0878734622144  0.0483870967742
77.9086115993  -20.935483871	0.0878734622144  0.0483870967742
78.9630931459  -20.4516129032	0.0878734622144  0.0483870967742
80.0175746924  -20.6451612903	0.0878734622144  0.0483870967742
81.072056239  -21.1290322581	0.0878734622144  0.0483870967742
82.1265377856  -20.8387096774	0.0878734622144  0.0483870967742
83.0052724077  -20.6451612903	0.0878734622144  0.0483870967742
83.8840070299  -20.2580645161	0.0878734622144  0.0483870967742
85.1142355009  -19.7741935484	0.0878734622144  0.0483870967742
85.992970123  -19.4838709677	0.0878734622144  0.0483870967742
87.0474516696  -19.2903225806	0.0878734622144  0.0483870967742
88.1019332162  -18.9032258065	0.0878734622144  0.0483870967742
89.1564147627  -18.6129032258	0.0878734622144  0.0483870967742
90.0351493849  -18.4193548387	0.0878734622144  0.0483870967742
90.913884007  -18.1290322581	0.0878734622144  0.0483870967742
92.144112478  -17.5483870968	0.0878734622144  0.0483870967742
93.0228471002  -16.9677419355	0.0878734622144  0.0483870967742
93.9015817223  -16.2903225806	0.0878734622144  0.0483870967742
95.1318101933  -15.5161290323	0.0878734622144  0.0483870967742
96.0105448155  -14.935483871	0.0878734622144  0.0483870967742
97.065026362  -14.7419354839	0.0878734622144  0.0483870967742
98.1195079086  -14.1612903226	0.0878734622144  0.0483870967742
99.1739894552  -14.1612903226	0.0878734622144  0.0483870967742
100.052724077  -13	0.0878734622144  0.0483870967742
100.931458699  -12.1290322581	0.0878734622144  0.0483870967742
101.985940246  -11.064516129	0.0878734622144  0.0483870967742
103.040421793  -10.6774193548	0.0878734622144  0.0483870967742
104.094903339  -10.4838709677	0.0878734622144  0.0483870967742
105.149384886  -10	0.0878734622144  0.0483870967742
106.028119508  -9.32258064516	0.0878734622144  0.0483870967742
106.90685413  -8.54838709677	0.0878734622144  0.0483870967742
107.961335677  -8.35483870968	0.0878734622144  0.0483870967742
109.015817223  -10.2903225806	0.0878734622144  0.0483870967742
110.07029877  -14.1612903226	0.0878734622144  0.0483870967742
110.949033392  -14.6451612903	0.0878734622144  0.0483870967742
112.179261863  -14.064516129	0.0878734622144  0.0483870967742
113.057996485  -13.1935483871	0.0878734622144  0.0483870967742
113.936731107  -9.03225806452	0.0878734622144  0.0483870967742
114.991212654  -11.3548387097	0.0878734622144  0.0483870967742
115.869947276  -13	0.0878734622144  0.0483870967742
116.924428822  -12.7096774194	0.0878734622144  0.0483870967742
117.978910369  -13.0967741935	0.0878734622144  0.0483870967742
119.033391916  -16.3870967742	0.0878734622144  0.0483870967742
119.912126538  -12.3225806452	0.0878734622144  0.0483870967742
121.142355009  -14.5483870968	0.0878734622144  0.0483870967742
122.021089631  -12.9032258065	0.0878734622144  0.0483870967742
122.899824253  -16	0.0878734622144  0.0483870967742
123.9543058  -16.5806451613	0.0878734622144  0.0483870967742
125.008787346  -17.1612903226	0.0878734622144  0.0483870967742
126.063268893  -18.2258064516	0.0878734622144  0.0483870967742
126.942003515  -17.1612903226	0.0878734622144  0.0483870967742
127.996485062  -15.7096774194	0.0878734622144  0.0483870967742
128.875219684  -15.7096774194	0.0878734622144  0.0483870967742
130.105448155  -15.5161290323	0.0878734622144  0.0483870967742
130.984182777  -15.4193548387	0.0878734622144  0.0483870967742
132.038664323  -15.5161290323	0.0878734622144  0.0483870967742
132.917398946  -15.7096774194	0.0878734622144  0.0483870967742
133.971880492  -15.7096774194	0.0878734622144  0.0483870967742
135.202108963  -15.9032258065	0.0878734622144  0.0483870967742
136.080843585  -15.8064516129	0.0878734622144  0.0483870967742
136.959578207  -15.9032258065	0.0878734622144  0.0483870967742
138.014059754  -15.1290322581	0.0878734622144  0.0483870967742
139.068541301  -14.935483871	0.0878734622144  0.0483870967742
140.123022847  -14.3548387097	0.0878734622144  0.0483870967742
141.001757469  -14.3548387097	0.0878734622144  0.0483870967742
142.056239016  -14.3548387097	0.0878734622144  0.0483870967742
143.110720562  -14.4516129032	0.0878734622144  0.0483870967742
143.989455185  -14.3548387097	0.0878734622144  0.0483870967742
145.219683656  -14.5483870968	0.0878734622144  0.0483870967742
146.098418278  -14.064516129	0.0878734622144  0.0483870967742
146.9771529  -13.4838709677	0.0878734622144  0.0483870967742
148.031634446  -13.0967741935	0.0878734622144  0.0483870967742
148.910369069  -12.6129032258	0.0878734622144  0.0483870967742
150.14059754  -11.8387096774	0.0878734622144  0.0483870967742
151.019332162  -11.6451612903	0.0878734622144  0.0483870967742
152.073813708  -11.2580645161	0.0878734622144  0.0483870967742
152.95254833  -11.3548387097	0.0878734622144  0.0483870967742
154.007029877  -11.4516129032	0.0878734622144  0.0483870967742
155.061511424  -12.5161290323	0.0878734622144  0.0483870967742
155.940246046  -12.3225806452	0.0878734622144  0.0483870967742
156.994727592  -10.0967741935	0.0878734622144  0.0483870967742
158.049209139  -13.0967741935	0.0878734622144  0.0483870967742
159.103690685  -9.12903225806	0.0878734622144  0.0483870967742
159.982425308  -16.0967741935	0.0878734622144  0.0483870967742
