# RESULTS FROM TALYS CALCULATION #
# nubar vs A : 
115	2.49897	0.0795699
116	2.59998	0.00481699
103	0.931453	0.00142501
104	0.663291	0.0509898
105	0.961243	0.968698
106	0.822677	9.28598
107	0.981396	45.2599
108	1.12796	120.8
109	1.14361	196.599
110	1.27298	220.3
111	1.40222	226.3
112	1.43464	211.001
113	1.57469	118.4
114	1.78176	47.5499
115	2.18959	16.89
116	2.15778	3.529
117	2.57376	0.479101
118	2.57845	0.0430502
119	2.59153	0.224099
120	2.23175	0.01668
106	0.971119	0.001323
107	0.685496	0.0233199
108	1.05068	0.220001
109	0.88275	1.22499
110	1.14356	4.48699
111	1.18142	14.22
112	1.30584	38.5599
113	1.34797	60.2997
114	1.64884	66.9402
115	1.82221	67.81
116	2.10211	42.69
117	2.17581	18.54
118	2.53939	5.60801
119	2.24112	18.7601
120	2.23126	4.751
121	1.94189	0.866596
122	1.88892	0.0728598
123	1.53812	0.005817
110	0.855466	0.009762
111	1.09709	0.1082
112	1.09531	0.987495
113	1.24207	4.94298
114	1.43932	16.55
115	1.67942	47.8098
116	1.68394	83.2201
117	1.98266	100.7
118	1.93416	88.5199
119	2.04035	81.6302
120	1.72417	60.9399
121	1.8149	34.7999
122	1.58857	15.61
123	1.3141	4.30102
124	1.34721	0.692801
125	1.24442	0.0947004
126	1.11827	0.00813998
113	0.883645	0.00668601
114	1.32632	0.0772302
115	1.48311	0.738102
116	1.59895	4.02201
117	1.66731	14.3399
118	1.85729	35.4
119	1.63156	24.2501
120	1.60764	50.4202
121	1.4655	79.6103
122	1.42857	63.1398
123	1.21792	52.4598
124	1.20898	27.05
125	1.0496	12.4501
126	1.01526	3.73998
127	0.755394	1.192
128	0.99638	0.215201
129	0.580989	0.0159999
130	1	0.001232
115	1	0.001187
116	1.31228	0.0227899
117	1.52621	0.276301
118	1.51547	2.212
119	1.51875	0.3884
120	1.36021	2.584
121	1.35633	12.3
122	1.1531	44.8498
123	1.03343	103
124	0.836851	148
125	0.951519	198.1
126	0.728918	183.701
127	0.834691	191.2
128	0.549495	118.1
129	0.700675	31.0499
130	0.270854	8.65202
131	0.968419	0.908396
132	1.06457	0.0519497
133	1	0.00179399
118	1.51023	0.00221699
120	1.29798	0.00568899
121	1.20029	0.0934101
122	1.13009	0.6983
123	0.806112	5.02001
124	0.939765	21.2501
125	0.701277	79.8098
126	0.930352	204.199
127	0.4743	600.099
128	0.790596	1102
129	0.200602	914.701
130	0.416853	848.7
131	0.125904	309.101
132	0	63.1101
133	0.943259	7.93796
134	1.15789	0.515198
135	1.28857	0.0161699
122	0	0.001134
123	0.858509	0.0287
